address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",Dolci Desserts,Yes,No,4.3/5,652,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Delivery,Brigade Road
"Ground Floor, Figure and Fitness Gym, ESI Hospital Road, Double Road, Stage 3, Indiranagar, Bangalore",UBCR,Yes,No,3.3/5,5,Indiranagar,"Cafe, Quick Bites",,"Italian, American, Chinese, Arabian, North Indian, Cafe",350,Delivery,Brigade Road
"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,Yes,No,4.3/5,1283,Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Cocktails, Burgers","Cafe, Italian, American","1,000",,
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1/5,459,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,,
"2, Shah Sultan Complex, Cunningham Road, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,858,Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","1,000",Delivery,Brigade Road
"HM Towers, 58, Brigade Road, Bangalore",Cafe Coffee Day,Yes,No,3.3/5,65,Brigade Road,Cafe,Cappuccino,"Cafe, Fast Food",900,Delivery,Brigade Road
"37/1, 3rd, 4th, 5th Floor. Oppsite Sigma Mall, Cunningham Road, Bangalore",Mudpipe Cafe,Yes,No,4.2/5,739,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Delivery,Brigade Road
"18, First Floor, Ramanashree Arcade, MG Road, Bangalore",Fabcafe,Yes,Yes,4.1/5,54,MG Road,Cafe,,"Cafe, Healthy Food",800,Delivery,Brigade Road
"1083,5th Cross, Opposite Corporation Bank, 12th Main, Indiranagar, Bangalore",Bean Flickers,Yes,No,4.3/5,392,Indiranagar,Cafe,"Burgers, Coffee, Mutton Burger, Sandwiches, Hot Chocolate, Fries, Sandwich","Cafe, American, Fast Food, Coffee, Continental",700,Delivery,Brigade Road
"1083, 12th Main, 5th cross, HAL 2nd Stage, Bangalore, Indiranagar, Bangalore",Chantilly,Yes,No,4.1/5,115,Indiranagar,"Cafe, Bakery","Cheesecake, Sandwiches, Tiramisu, Coffee, Hot Chocolate, Red Velvet Cake, Brownie","Cafe, Bakery",450,Delivery,Brigade Road
"846, Double Road, 1st stage, Indiranagar, Bangalore",Cafe Terra,Yes,No,4.2/5,391,Indiranagar,Cafe,"English Breakfast, Waffles, Chicken Lasagne, Pasta, Watermelon Juice, Momos, Thukpa","Cafe, Continental, Fast Food",500,Delivery,Brigade Road
"1st Floor, 1 MG Road Mall, Trinity Circle, Opposite Taj Vivanta, MG Road, Bangalore",The Coffee Bean & Tea Leaf,Yes,No,3.8/5,260,MG Road,Cafe,"Coffee, Sandwiches, Blueberry Muffin, Pancakes, Espresso, Cappuccino, Cheesecake",Cafe,700,Delivery,Brigade Road
"13/2, Buddha Vihar Road, Frazer Town, Bangalore",Sherlock's Cafe,Yes,No,3.7/5,40,Frazer Town,Cafe,,"Cafe, Fast Food",350,Delivery,Brigade Road
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,,0,Shivajinagar,"Cafe, Bakery",,"Cafe, Bakery",400,Delivery,Brigade Road
"46, 8th Main Road, Vasanth Nagar, Bangalore",Step Right Up,Yes,No,4.1/5,152,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300,Delivery,Brigade Road
"3353, 5th Cross, 12th Main, Indiranagar, Bangalore",Cafe Braqa,Yes,Yes,4.0/5,144,Indiranagar,Cafe,"Ginger Tea, Cup Cake, Sandwich, Pasta, Cappuccino, Pizza, Cheese Sticks","Cafe, Italian, Continental, Beverages",700,Delivery,Brigade Road
"42, Church Street, Bangalore",BLOW,Yes,Yes,4.2/5,937,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750,Delivery,Brigade Road
"Lal Bagh Main Road, Sampangi Rama Nagar, Near Shanti Nagar, Bangalore",Bread and Circus,Yes,No,3.7/5,50,Shanti Nagar,Cafe,,"Cafe, Fast Food, Pizza, Burger",550,Delivery,Brigade Road
"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo",Trick Or Treat,No,No,4.2/5,618,Brigade Road,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",500,Delivery,Brigade Road
"L1-08 Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",The Souk,Yes,No,3.7/5,66,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800,Delivery,Brigade Road
"21, Prestige Copper Arch, Next to Safina Plaza, Infantry Road, Bangalore",Cafe Imroze,Yes,No,3.6/5,95,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650,Delivery,Brigade Road
"6/2, Primrose Road, MG Road, Bangalore",Happy Belly Bakes,Yes,No,4.2/5,115,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Delivery,Brigade Road
"1/1, Gover Road, Next to Little Ely School, Indian Bank, Cox Town, Frazer Town",Bubbles,Yes,No,3.7/5,21,Frazer Town,Cafe,,Cafe,450,Delivery,Brigade Road
"3167, Near ESI Hospital, HAL 2nd Stage, Double Road, Indiranagar, Bangalore",Tea Journey,Yes,No,3.8/5,71,Indiranagar,Cafe,"Ginger Tea, Chai, Pasta, Maggi, Vada Pav, Pizza, Sandwich",Cafe,500,Delivery,Brigade Road
"1st Floor, St.Patricks Complex, Brigade Road, Bangalore",Smokie Brownie,Yes,No,3.2/5,7,Brigade Road,Cafe,,Cafe,600,Delivery,Brigade Road
"41/42, Residency Road, Bangalore Shanthala Nagar, Ashok Nagar, Residency Road",Driven Cafe,Yes,No,3.4/5,122,Residency Road,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",600,Delivery,Brigade Road
"50, Little Plaza, Cunningham Road",Chels Cafe,Yes,No,3.5/5,20,Cunningham Road,Cafe,,"Cafe, Burger",500,Delivery,Brigade Road
"The Ambara, 22, Annaswami Mudaliar Road, Near Ulsoor Lake, Ulsoor, Bangalore",Cafe Cerrise,Yes,No,3.8/5,96,Ulsoor,Cafe,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad",600,Delivery,Brigade Road
"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore",Fatso's,Yes,No,3.8/5,72,Brigade Road,Cafe,"Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger",650,Delivery,Brigade Road
"5, 5th Floor, Brigade Royal Hotel, Brigade Road, Bangalore",Hashtag Cafe,No,No,2.8/5,44,Brigade Road,Cafe,,"Cafe, Continental, European, Italian",700,Delivery,Brigade Road
"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Bon Sante,Yes,No,3.6/5,104,Brigade Road,Cafe,"Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice","Cafe, Continental, Italian",800,,
"60/1, Miyajima House, 3rd Floor, 2nd Cross, Residency Road, Bangalore",Japan Travel Cafe Azuki,No,No,4.3/5,67,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400,Delivery,Brigade Road
"The Elanza Hotel, 88/2 Richmond Road, Richmond Road, Bangalore",Cafe @ Elanza,No,No,3.7/5,145,Richmond Road,"Casual Dining, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe","1,000",Delivery,Brigade Road
"2, Dickenson Road, FM Cariappa Colony, Sivanchetti Gardens, Commercial Street, Bangalore",Norsha Caffe,Yes,No,3.3/5,6,Commercial Street,Cafe,,Cafe,400,Delivery,Brigade Road
"137/1 MM Road, Opposite Yamaha Showroom, Frazer Town, Bangalore",Best Tea Cafe,Yes,No,,0,Frazer Town,Cafe,,Cafe,400,Delivery,Brigade Road
"22, St. Marks Road, Bangalore",Truffles,No,No,4.5/5,3569,St. Marks Road,Cafe,"Burgers, Pasta, Mocktails, Cheese Burger, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika","Cafe, American, Burger, Steak",900,,
"29, Ulsoor Road, Opposite Salarpuria Windsor, Ulsoor, Bangalore",Cafe Kaara,No,No,4.2/5,162,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta","Cafe, Salad, Desserts, Pizza",750,Delivery,Brigade Road
"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Little Green Cafe,No,No,4.3/5,788,Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,,
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4.0/5,1443,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",500,Delivery,Brigade Road
"G-18, Kedia Arcade, 92, Infantry Road, Bangalore",Peppa Zzing,Yes,No,4.3/5,1133,Infantry Road,Cafe,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb","Cafe, Fast Food, Burger",800,Delivery,Brigade Road
"119, Annaswamy Mudaliar Road, Opposite Ulsoor Lake, Ulsoor, Bangalore",KAARA BY THE LAKE,No,No,4.0/5,47,Ulsoor,Cafe,"Coffee, Pizza, Pasta, Key Lime Pie","Cafe, Italian, Coffee",750,Delivery,Brigade Road
"G8/9/10, Ashoka Plaza, Kamaraj Road, Commercial Street, Bangalore",The Chocolate Heaven,No,No,NEW,0,Commercial Street,"Dessert Parlor, Cafe",,"Desserts, Cafe",600,Delivery,Brigade Road
"1st Floor, MG Road Metro Station, Church Street Entrance, MG Road, Bangalore",Chai Ki Tapri,No,No,3.7/5,16,MG Road,Cafe,,Cafe,250,Delivery,Brigade Road
"Mahalakshmi Chambers, MG Road, Bangalore",Little Bites,No,No,3.6/5,7,MG Road,"Cafe, Quick Bites",,"Cafe, Fast Food",200,Delivery,Brigade Road
"#10 B, Ground floor , Devatha Plaza, Residency road, Residency Road, Bangalore",The Bao Belly,No,No,3.3/5,9,Residency Road,Cafe,,Cafe,400,Delivery,Brigade Road
"57, Samsung Opera House, Junction of Brigade Road & Residency Road, Brigade Road, Bangalore",The Flying Squirrel,No,No,4.0/5,24,Brigade Road,Cafe,,"Cafe, Bakery, Beverages, Burger, Continental",450,Desserts,Brigade Road
"15, Convent Road, Off Residency Road, Residency Road, Bangalore",Green Theory,Yes,Yes,4.2/5,2840,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,,
"33, High Gates Hotel, Church Street, Bangalore",The White Room - Coffee & Kitchen,No,Yes,4.0/5,1703,Church Street,Cafe,"Mushroom Quiche, Chicken Quiche, Coffee, Chocolate Milkshake, Caramel Frappe, Espresso, Tea","Cafe, Continental, American, Desserts","1,000",,
"24/1, Lavelle Road, Bangalore",Glen's Bakehouse,Yes,No,4.4/5,1087,Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,Desserts,Brigade Road
"JW Marriott Bengaluru, 24/1, Vittal Mallya Road, Lavelle Road, Bangalore",Bengaluru Baking Company - JW Marriott Bengaluru,No,No,4.3/5,521,Lavelle Road,"Bakery, Cafe","Coffee, Fruit Tart, Croissants, Eclair, Sandwich, Nachos, Tiramisu","Salad, Bakery, Cafe, Sandwich, Italian, Burger","1,400",Desserts,Brigade Road
"18, First Floor, Ramanashree Arcade, MG Road, Bangalore",Fabcafe,Yes,Yes,4.1/5,54,MG Road,Cafe,,"Cafe, Healthy Food",800,Desserts,Brigade Road
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3/5,570,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,,
"89, Kannan Building, MG Road, Bangalore",Lakeview Milkbar,No,No,4.0/5,1443,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",500,Desserts,Brigade Road
"22, Ulsoor Road, (ground floor of Sunrise Chambers), Bangalore",Marzipan Cafe & Bakery,Yes,No,4.2/5,432,Ulsoor,"Cafe, Bakery","Coffee, Cheesecake, Chicken Baguette, Pasta, Mudcake, Wedges, Hot Chocolate","Cafe, Mediterranean, Bakery, Greek, Beverages",700,,
"6/2, Primrose Road, MG Road, Bangalore",Happy Belly Bakes,Yes,No,4.2/5,115,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Desserts,Brigade Road
"G8/9/10, Ashoka Plaza, Kamaraj Road, Commercial Street, Bangalore",The Chocolate Heaven,No,No,NEW,0,Commercial Street,"Dessert Parlor, Cafe",,"Desserts, Cafe",600,Desserts,Brigade Road
"Conrad Bengaluru, Kensington Road, Ulsoor, Bangalore",The Lobby Brew - Conrad Bengaluru,No,Yes,3.8/5,25,Ulsoor,Cafe,,"Cafe, North Indian, Fast Food","2,200",Desserts,Brigade Road
"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",Aubree,Yes,No,,0,Shivajinagar,"Cafe, Bakery",,"Cafe, Bakery",400,Desserts,Brigade Road
"Hyatt Centric MG Road 1/1, Swami Vivekananda Road, Ulsoor, Bangalore",The Corner - Hyatt Centric MG Road,No,No,,0,Ulsoor,Cafe,,"Cafe, Desserts, Fast Food","1,000",Desserts,Brigade Road
"4/1, Brunton Road, MG Road, Bangalore",Berrylicious Cafe,Yes,No,4.1/5,125,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Desserts,Brigade Road
"The Bohemian House, 5, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Third Wave Coffee Roasters @ The Bohemian House,No,No,,0,Richmond Road,Cafe,,"Cafe, Continental, Desserts",800,Desserts,Brigade Road
"18, Ali Askar Road, Cunningham Road, Bangalore",Hammered,Yes,Yes,4.7/5,4657,Cunningham Road,"Pub, Cafe","Crispy Corn, Sangria, Chicken Satay, Masala Fries, Wood Fire Pizza, Pesto Pasta, Cocktails","North Indian, Thai, Japanese, Continental, Cafe","1,300",,
"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",Dolci Desserts,Yes,No,4.3/5,652,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Desserts,Brigade Road
"The Hatworks Boulevard, 32, Cunningham Road, Bangalore",The Culinarium,No,No,3.7/5,22,Vasanth Nagar,"Cafe, Dessert Parlor",,"Cafe, Desserts, Beverages","1,100",Desserts,Brigade Road
"Ground Floor, 6/1, Sheshadri Road, Race Course Road, Bangalore",Cafe Coffee Day,No,No,NEW,0,Race Course Road,Cafe,,"Cafe, Fast Food",900,Desserts,Brigade Road
"Radisson Blu, 1, Palace Road, Race Course Road, Bangalore",Tea and Wine Lounge,No,No,3.5/5,10,Race Course Road,Cafe,,"Cafe, Tea, Desserts",800,Desserts,Brigade Road
"57, Samsung Opera House, Junction of Brigade Road & Residency Road, Brigade Road, Bangalore",The Flying Squirrel,No,No,4.0/5,24,Brigade Road,Cafe,,"Cafe, Bakery, Beverages, Burger, Continental",450,Dine-out,Brigade Road
"15 K-1, D Block, Next to St. Patrick's Church, Opposite to Printo",Trick Or Treat,No,No,4.2/5,618,Brigade Road,Cafe,"Burgers, Sandwich, Peri Peri Chicken Satay, Fries, Nachos, Sandwiches, Pesto Pasta","Cafe, Burger, Continental, Pizza, Steak",500,Dine-out,Brigade Road
"17/1, Raheja Plaza, Commissariat Road, D'souza Circle, Opposite Lifestyle, Brigade Road, Bangalore",Fatso's,Yes,No,3.8/5,72,Brigade Road,Cafe,"Sandwich, Garlic Bread, Brownie, Potato Wedges, French Fries","Cafe, American, Italian, Burger",650,Dine-out,Brigade Road
"5, 5th Floor, Brigade Royal Hotel, Brigade Road, Bangalore",Hashtag Cafe,No,No,2.8/5,44,Brigade Road,Cafe,,"Cafe, Continental, European, Italian",700,Dine-out,Brigade Road
"1st Floor, St.Patricks Complex, Brigade Road, Bangalore",Smokie Brownie,Yes,No,3.2/5,7,Brigade Road,Cafe,,Cafe,600,Dine-out,Brigade Road
"13-15, Windsor House, Brigade Road, Bangalore",Cafe Coffee Day,Yes,No,3.0/5,17,Brigade Road,Cafe,,"Cafe, Fast Food",900,Dine-out,Brigade Road
"6, Resthouse Road, Off Brigade Road, Brigade Road, Bangalore",Bon Sante,Yes,No,3.6/5,104,Brigade Road,Cafe,"Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice","Cafe, Continental, Italian",800,,
"19, Church Street, Bangalore",Brik Oven,No,No,4.6/5,2259,Church Street,Cafe,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","Cafe, Pizza, Beverages","1,100",,
"25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore",Soda Bottle Opener Wala,Yes,Yes,4.4/5,3651,Lavelle Road,"Casual Dining, Irani Cafee","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Kulfi","Parsi, North Indian","1,300",,
"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",Cafe Azzure,Yes,Yes,4.3/5,2664,MG Road,Cafe,"Pasta, Wedges, Pizza, Nachos, Mocktails, Peri Peri Fish, Burgers","Cafe, Continental, Italian, Burger","1,200",,
"15, Convent Road, Off Residency Road, Residency Road, Bangalore",Green Theory,Yes,Yes,4.2/5,2840,Residency Road,"Casual Dining, Cafe","Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade","Italian, Salad, Healthy Food, Cafe, Asian, Desserts, Pizza",800,,
"22, St. Marks Road, Bangalore",Truffles,No,No,4.5 /5,3614,St. Marks Road,Cafe,"Burgers, Pasta, Cheese Burger, Potato Mash, Mocktails, Ferrero Rocher Milkshake, Peri Chicken","Cafe, American, Burger, Steak",900,,
"33, High Gates Hotel, Church Street, Bangalore",The White Room - Coffee & Kitchen,No,Yes,4.1 /5,1769,Church Street,Cafe,"Coffee, Tea, Pasta, Pancakes, Potato Wedges, Waffles, Chicken Slider","Cafe, Continental, American, Desserts","1,000",,
"2, Church Street, Bangalore",Matteo Coffea,No,No,4.4 /5,2662,Church Street,Cafe,"Coffee, Pasta, Donut, Salads, Tiramisu Cheesecake, Sandwiches, Burgers",Cafe,600,,
"Vivanta By Taj, 41/3, MG Road, Bangalore",Cafe Mozaic - Taj MG Road Bengaluru,No,Yes,4.1/5,565,MG Road,"Casual Dining, Cafe","Paneer Lababdar, Sandwiches, Oysters, Paratha, Coffee, Jeera Rice, Biryani","North Indian, Italian, South Indian, Continental, Cafe, Salad","2,500",Dine-out,Brigade Road
"46, Church Street, Bangalore",Smally's Resto Cafe,Yes,No,4.3/5,3547,Church Street,Cafe,"Burgers, Snicker Shake, Thick Shakes, Pasta, Chicken Wings, Peri Fries, Peri Peri Chicken Burger","Cafe, Italian, Burger, American, Steak",650,,
"42, Church Street, Bangalore",BLOW,Yes,Yes,4.2/5,937,Church Street,Cafe,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe","Cafe, Continental, American, Burger",750,,
"29, Ulsoor Road, Opposite Salarpuria Windsor, Ulsoor, Bangalore",Cafe Kaara,No,No,4.2/5,162,Ulsoor,Cafe,"Coffee, Cappuccino, Sandwich, Tiramisu, Hot Chocolate, Fries, Pesto Pasta","Cafe, Salad, Desserts, Pizza",750,Dine-out,Brigade Road
"60/1, Miyajima House, 3rd Floor, 2nd Cross, Residency Road, Bangalore",Japan Travel Cafe Azuki,No,No,4.3/5,67,Residency Road,Cafe,"Miso Soup, Tempura","Cafe, Japanese",400,Dine-out,Brigade Road
"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",Little Green Cafe,No,No,4.3/5,788,Church Street,"Cafe, Casual Dining","Spaghetti, Mezze Platter, Bombay Sandwich, Tomato Ragout, Mushroom Sandwich, Thai Green Curry, Tea","Cafe, Healthy Food, Salad, Continental, Beverages, Italian, Sandwich",900,,
"34/1-2, Meanee Avenue Tank Road, Sivanchetty Road, Ulsoor, Bangalore",Skoolroom,Yes,No,4.3/5,570,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,Dine-out,Brigade Road
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1/5,459,Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,,
"G-18, Kedia Arcade, 92, Infantry Road, Bangalore",Peppa Zzing,Yes,No,4.3/5,1133,Infantry Road,Cafe,"Burgers, Pasta, Cheesy Fries, Beef Burger, Ice Tea, Steak Burger, Lamb","Cafe, Fast Food, Burger",800,Dine-out,Brigade Road
"105, Double Road, Shanti Nagar, Bangalore",The Courtyard,No,Yes,3.9/5,297,Shanti Nagar,Cafe,"Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast","Cafe, Italian",750,Dine-out,Brigade Road
"5, Inside woodland Hotel, Rajarammohan Roy Road, Richmond Road, Bangalore",Marzipan @ The Bohemian House,Yes,No,4.2/5,50,Richmond Road,Cafe,,Cafe,700,Dine-out,Brigade Road
"21, Prestige Copper Arch, Next to Safina Plaza, Infantry Road, Bangalore",Cafe Imroze,Yes,No,3.6/5,95,Infantry Road,"Cafe, Casual Dining","Pasta, Burgers, Fries, Bbq Chicken Pizza, Peri Peri Chicken Pizza, Bbq Burger, Nachos","Cafe, Burger, Italian, Fast Food",650,Dine-out,Brigade Road
"6/2, Primrose Road, MG Road, Bangalore",Happy Belly Bakes,Yes,No,4.2/5,115,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Dine-out,Brigade Road
"Cinnamon, Ground Floor, 24 Gangadhar Chetty Road, Opposite RBNAMS Ground, Ulsoor, Bangalore",Cafe Cassia& Deli,No,No,4.2/5,115,Ulsoor,"Casual Dining, Cafe","Coffee, Pasta, Tea","Lebanese, Mediterranean, Cafe","1,000",Dine-out,Brigade Road
"40/2, Sri ML Subbaraju Road, Shantalanagar, Sampangi Rama Nagar, Lavelle Road, Bangalore",The Blackboard Bakery,No,Yes,3.7/5,91,Lavelle Road,"Cafe, Bakery","Pancakes, Sandwich, Salad, Coffee, Burgers","Cafe, Bakery, Continental","1,000",Dine-out,Brigade Road
"4, Good Earth Store, Former Cinnamon Building, Lavelle Road, Bangalore",Fresh Pressery Cafe,No,No,4.1/5,104,Lavelle Road,"Cafe, Quick Bites","Salads, Sandwiches, Arugula Salad, Pasta, Avocado Sandwich, Protein Smoothie, Spaghetti","Cafe, Italian, Healthy Food","1,200",Dine-out,Brigade Road
"G-005, City Centre, 28/4, Church Street, Bangalore",Tata Cha,Yes,No,3.9/5,67,Church Street,"Beverage Shop, Cafe","Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",500,Dine-out,Brigade Road
"41/42, Residency Road, Bangalore Shanthala Nagar, Ashok Nagar, Residency Road",Driven Cafe,Yes,No,3.4/5,122,Residency Road,Cafe,"Coffee, Fries, Cappuccino, Margherita Pizza","Cafe, Beverages, Fast Food",600,Dine-out,Brigade Road
